Index,question,answer
2476,i like to slide into the bases.,yeah. it's a lot of fun to slide.
2477,yeah. it's a lot of fun to slide.,i want to be a baseball player when i grow up.
2478,i want to be a baseball player when i grow up.,me too. i want to play for the yankees.
2479,me too. i want to play for the yankees.,not me. i want to play for the dodgers.
2480,not me. i want to play for the dodgers.,we have to practice every day.
2481,we have to practice every day.,i don't like practice.
2482,i don't like practice.,me neither. it's boring.
2483,me neither. it's boring.,but practice makes perfect.
2484,let's go jogging.,that's a good idea.
2485,that's a good idea.,i bought some new shoes.
2486,i bought some new shoes.,are they comfortable?
2487,are they comfortable?,they're very comfortable.
2488,they're very comfortable.,how much were they?
2489,how much were they?,they were on sale for $80.
2490,they were on sale for $80.,do they help you run faster?
2491,do they help you run faster?,"no, but my feet don't hurt anymore."
2492,"no, but my feet don't hurt anymore.",then they're worth every penny.
2493,then they're worth every penny.,you might want to buy a pair.
2494,you might want to buy a pair.,i'll wait until i wear this pair out.
2495,tiger is the greatest golfer in the world.,you can say that again.
2496,you can say that again.,but i'm worried about tiger.
2497,but i'm worried about tiger.,why is that?
2498,why is that?,because he likes to scuba dive.
2499,because he likes to scuba dive.,what's wrong with that?
2500,what's wrong with that?,it can be dangerous.
2501,it can be dangerous.,you mean he could drown.
2502,you mean he could drown.,he shouldn't scuba dive until he retires.
2503,he shouldn't scuba dive until he retires.,but he dives to relax.
2504,but he dives to relax.,"he might relax, but it makes me nervous."
2505,"he might relax, but it makes me nervous.","if his wife doesn't mind, you shouldn't mind."
2506,did you watch that golf tournament?,the one that tiger won?
2507,the one that tiger won?,how did he do it?
2508,how did he do it?,it was nothing for him.
2509,it was nothing for him.,he sank a 20-foot putt on the last hole to win by one stroke!
2510,he sank a 20-foot putt on the last hole to win by one stroke!,he sank a 25-footer last year at the same tournament to win by one stroke.
2511,he sank a 25-footer last year at the same tournament to win by one stroke.,i think he is from outer space.
2512,i think he is from outer space.,no human could possibly play golf that well.
2513,no human could possibly play golf that well.,"whenever he needs a shot to win a tournament, he makes that shot."
2514,"whenever he needs a shot to win a tournament, he makes that shot.",no human can do that.
2515,no human can do that.,somebody should check his birth record.
2516,somebody should check his birth record.,i bet it says he was born on mars.
2517,who's the greatest baseball player?,there are so many great players.
2518,there are so many great players.,"yes, but who is the greatest?"
2519,"yes, but who is the greatest?",i'd have to say babe ruth.
2520,i'd have to say babe ruth.,most people would say that.
2521,most people would say that.,he changed the game.
2522,he changed the game.,"yes, he made the home run popular."
2523,"yes, he made the home run popular.","everybody loved him, all over the nation."
2524,"everybody loved him, all over the nation.",he helped make the yankees the best team ever.
2525,he helped make the yankees the best team ever.,"and ruth was a good person, too."
2526,"and ruth was a good person, too.",he always visited hospitals to cheer up sick kids.
2527,he always visited hospitals to cheer up sick kids.,there will never be another babe.
2528,did you hear what happened at the baseball game?,"no, please tell me."
2529,"no, please tell me.",someone punched out someone.
2530,someone punched out someone.,that's not nice.
2531,that's not nice.,it's worse than that.
2532,it's worse than that.,how so?
2533,how so?,two guys got into an argument.
2534,two guys got into an argument.,i'll bet they were drinking.
2535,i'll bet they were drinking.,a third guy punched one of the two guys.
2536,a third guy punched one of the two guys.,"i'll bet he was drinking, too."
2537,"i'll bet he was drinking, too.",the victim hit his head on the concrete steps and died.
2538,the victim hit his head on the concrete steps and died.,that's terrible. can't people just have fun at a baseball game?
2539,i want to go to the ball game.,is there a game tonight?
2540,is there a game tonight?,"yes, it starts at 7 p.m."
2541,"yes, it starts at 7 p.m.",can we get tickets?
2542,can we get tickets?,"yes, but only the cheap tickets."
2543,"yes, but only the cheap tickets.",how much are they?
2544,how much are they?,they're only $5 each.
2545,they're only $5 each.,that's a good price.
2546,that's a good price.,"yes, it's cheaper than a hot dog or a beer."
2547,"yes, it's cheaper than a hot dog or a beer.",where are the seats?
2548,where are the seats?,they're behind the outfield.
2549,they're behind the outfield.,maybe we can catch a home run ball.
2550,golf is so hard.,what's so hard about hitting a little white ball?
2551,what's so hard about hitting a little white ball?,it's hard if you want to do it right.
2552,it's hard if you want to do it right.,you mean like tiger?
2553,you mean like tiger?,"no, like a good amateur golfer."
2554,"no, like a good amateur golfer.",what's so hard about golf?
2555,what's so hard about golf?,there are so many things you have to do right.
2556,there are so many things you have to do right.,like what?
2557,like what?,"like keep your left arm straight, keep your head down, and follow through."
2558,"like keep your left arm straight, keep your head down, and follow through.",yikes! who can remember all that?
2559,yikes! who can remember all that?,you need to get a lot of lessons when you're really young.
2560,you need to get a lot of lessons when you're really young.,forget it. golf sounds more like work than fun.
2561,did you hear about the ball player?,the home run hitter on drugs?
2562,the home run hitter on drugs?,he said a doctor helped him with a personal problem.
2563,he said a doctor helped him with a personal problem.,he said he wasn't using drugs.
2564,he said he wasn't using drugs.,he apologized to the fans.
2565,he apologized to the fans.,the league suspended him for 50 games.
2566,the league suspended him for 50 games.,that will cost him some money.
2567,that will cost him some money.,"yes, about $7 million."
2568,"yes, about $7 million.",that will teach him a good lesson.
2569,that will teach him a good lesson.,he probably won't use drugs anymore.
2570,he probably won't use drugs anymore.,but it won't stop other players from using drugs.
2571,but it won't stop other players from using drugs.,no. everyone always figures that they won't get caught.
2572,why is there so much crime?,because parents don't teach their kids right from wrong.
2573,because parents don't teach their kids right from wrong.,is that it?
2574,is that it?,"also, there aren't enough police."
2575,"also, there aren't enough police.",but there are a lot of police.
2576,but there are a lot of police.,there's only one police officer per 100 criminals.
2577,there's only one police officer per 100 criminals.,can't we hire more police?
